site,lat,lng,zip,name,address,phone,email,web
"DirtyMartini","51.5171634","-0.0806945","EC2M 4LN","Dirty Martini Bishopsgate","Dirty Martini Bishopsgate, 158 Bishopsgate, London, EC2M 4LN","0207 632 2086","bishopsgate@dirtymartini.uk.com",""
"DirtyMartini","51.5121639","-0.121796","WC2B 5HZ","Dirty Martini Covent Garden","Dirty Martini Covent Garden, 11/12 Russell Street, Covent Garden, London, WC2B 5HZ","0207 632 2088","coventgarden@dirtymartini.uk.com",""
"DirtyMartini","51.5144667","-0.1434155","W1S 1JH","Dirty Martini Hanover Square","Dirty Martini Hanover Square, 10c Hanover Square, London, W1S 1JH","0207 632 2087","hanoversquare@dirtymartini.uk.com",""
"DirtyMartini","51.5363037","-0.1038413","N1 0NY","Dirty Martini Islington","Dirty Martini Islington, 74 Upper Street, London, N1 0NY","0207 632 2212","islington@dirtymartini.uk.com",""
"DirtyMartini","51.510443","-0.0839602","EC3R 8DT","Dirty Martini Monument","Dirty Martini Monument, 1 Lovat Lane, Off Eastcheap, London, EC3R 8DT","0207 632 2089","monument@dirtymartini.uk.com",""
"DirtyMartini","51.514547","-0.0946545","EC2V 6DL","Dirty Martini St Paul's","Dirty Martini St Paul's, 130 Wood Street, London, EC2V 6DL","0207 632 2336","stpauls@dirtymartini.uk.com",""
"DirtyMartini","51.45455883083245","-2.5941490828549183","BS1 1HT","Dirty Martini Bristol","47 Corn Street, Bristol, BS1 1HT","0117 244 3447","Bristol@dirtymartini.uk.com",""
"DirtyMartini","51.4768852","-3.177346","CF10 1FA","Dirty Martini Cardiff","Dirty Martini Cardiff, Imperial Gate, St Mary Street, Cardiff, CF10 1FA","029 2167 2600","cardiff@dirtymartini.uk.com",""
"DirtyMartini","53.7977514","-1.5501189","LS1 2HL","Leeds","31 King St, Leeds, LS1 2HL","01134 689 488","leeds@dirtymartini.uk.com",""
"DirtyMartini","53.4784076","-2.2493172","M2 5QR","Manchester","1 Peter Street, Manchester, M2 5QR","0161 241 0781","manchester@dirtymartini.uk.com",""
"DirtyMartini","52.4803075","-1.9029774","B2 5ST","Leeds","7 Bennetts Hill, Birmingham B2 5ST","01213 890084","Birmingham@dirtymartini.uk.com",""
