site,lat,lng,zip,name,address,phone,email,web
"HungryHorse","51.440708","-2.557367","BS4 3DS","Lodekka","Tramway Road, Brislington, Bristol, BS4 3DS","01179 712975","1743@greeneking.co.uk",""
"HungryHorse","51.412345","-2.492957","BS31 1NP","Talbot Inn","Bath Road, Keynsham, Bristol, BS31 1NP","01179 863232","6727@greeneking.co.uk",""
"HungryHorse","52.142795","-0.427241","MK41 0DS","Anchor","397 Goldington Road, Bedford, MK41 0DS","01234 353606","4034@Greeneking.co.uk",""
"HungryHorse","51.895964","-0.433198","LU3 1AS","Biscot Mill","Biscot Road, Luton, LU3 1AS","01582 572363","0247@greeneking.co.uk",""
"HungryHorse","51.906187","-0.513974","LU5 5LB","Chequers","East End, Houghton Regis, Dunstable, LU5 5LB","01582 865970","7674@Greeneking.co.uk",""
"HungryHorse","51.876165","-0.505954","LU6 3DX","Highwayman","London Road, Dunstable, LU6 3DX","01582 601122","6466@Greeneking.co.uk",""
"HungryHorse","51.413631","-0.730898","RG12 2UJ","Running Horse","London Road, Bracknell, RG12 2UJ","01344 425215","5290@Greeneking.co.uk",""
"HungryHorse","51.432986","-0.969539","RG2 0NT","Victoria Cross","Unit B2, 350 Basingstoke Road, Reading, RG2 0NT","01189 310115","1817@greeneking.co.uk",""
"HungryHorse","51.474759","-0.889729","RG10 9RJ","Wee Waif","Old Bath Road, Charvil, Reading, RG10 9RJ","0118 9440066","5306@Greeneking.co.uk",""
"HungryHorse","52.049465","-0.693117","MK10 9AA","Broughton Hotel",", Broughton, Milton Keynes, MK10 9AA","01908 667726","6418@Greeneking.co.uk",""
"HungryHorse","51.827997","-0.843375","HP19 9BF","Cotton Wheel","Jackson Road, Aylesbury, HP19 9BF","01296 427567","5223@Greeneking.co.uk",""
"HungryHorse","51.534828","-0.530492","SL0 0LP","Crooked Billet","Uxbridge Road, Iver, SL0 0LP","01753 651159","6301@greeneking.co.uk",""
"HungryHorse","52.018008","-0.767085","MK4 1GA","Furzton Lake","Shirwell Crescent, Furzton, Milton Keynes, MK4 1GA","01908 520200","6317@greeneking.co.uk",""
"HungryHorse","52.582469","-0.264777","PE3 9TT","Halcyon","Atherstone Avenue, Peterborough, PE3 9TT","01733 263801","0118@greeneking.co.uk",""
