site,lat,lng,zip,name,address,phone,email,web
"PizzaExpress","53.39393","-2.21677","SK8 1AA","Cheadle High Street","83-85 High Street, Cheadle, Cheshire, SK8 1AA","0161 491 1442","Cheadle.Manager@pizzaexpress.com",""
"PizzaExpress","53.42491","-2.23551","M20 6UR","Didsbury Lapwing Lane","95 Lapwing Lane, West Didsbury, Lancashire, M20 6UR","0161 438 0838","Didsbury.Manager@pizzaexpress.com",""
"PizzaExpress","53.4122","-2.1614","SK1 1SA","Stockport Redrock","Unit B02 Redrock, Bridgefield Street, Stockport, SK1 1SA","01612 592 060","Stockport.Manager@pizzaexpress.com",""
"PizzaExpress","53.32537","-2.23367","SK9 1PL","Wilmslow Alderley Road","26 Alderley Road, Wilmslow, Cheshire, SK9 1PL","01625 540 055","Wilmslow.Manager@pizzaexpress.com",""
"PizzaExpress","53.3489","-2.1197","SK12 1RD","Poynton Park Lane","41/43 Park Lane, Poynton, SK12 1RD","01625 872 200","Poynton.Manager@pizzaexpress.com",""
"PizzaExpress","53.37777","-2.34715","WA15 9SA","Hale Ashley Road","142 Ashley Road, Hale, Cheshire, WA15 9SA","0161 928 6644","Hale.Manager@pizzaexpress.com",""
"PizzaExpress","53.47273","-2.246992","M15 4FN","Manchester First Street","Unit 4, First Street North, Manchester, M15 4FN","0161 236 6777","Manchester8.Manager@pizzaexpress.com",""
"PizzaExpress","53.47551","-2.241082","M1 6FQ","Manchester Oxford Street","Unit B, St James Building, 61-95 Oxford St, Manchester, M1 6FQ","0161 2286665","Manchester6.Manager@pizzaexpress.com",""
"PizzaExpress","53.48052","-2.236217","M1 1RG","Manchester Piccadilly Gardens","Piccadilly Gardens, Manchester, M1 1RG","0161 237 1811","PiccadillyGardens.Manager@pizzaexpress.com",""
"PizzaExpress","53.4808","-2.243458","M2 4WQ","Manchester King Street","84-86 King Street, Manchester, M2 4WQ","0161 832 5435","Manchester7.Manager@pizzaexpress.com",""
"PizzaExpress","53.4703","-2.2945","M50 3AZ","Salford Quays Designer Outlet","G38 The Lowry Designer Outlet, Salford Quays, Lancashire, M50 3AZ","0161 877 3585","SalfordQuays.Manager@pizzaexpress.com",""
"PizzaExpress","53.4850731","-2.243108","M4 3TR","Manchester Corn Exchange","The Corn Exchange, Exchange Square, Manchester M4 3TR","01618346130","Manchester3.Manager@pizzaexpress.com",""
"PizzaExpress","53.46476","-2.34821","M17 8EQ","Manchester The Trafford Shopping Centre","Unit R8a, The Trafford Centre, Manchester, M17 8EQ","0161 747 2121","TraffordCentre.Manager@pizzaexpress.com",""
"PizzaExpress","53.30586","-2.37389","WA16 6EH","Knutsford King Street","117a King Street, Knutsford, Cheshire, WA16 6EH","01565 651 898","Knutsford.Manager@pizzaexpress.com",""
"PizzaExpress","53.26128","-2.12525","SK10 1EX","Macclesfield Market Place","4 Market Place, Macclesfield, Cheshire, SK10 1EX","01625 425 175","Macclesfield.Manager@pizzaexpress.com",""
"PizzaExpress","53.59468","-2.290124","BL9 0JX","Bury The Rock Shopping Centre","1 Rock Place, The Rock, Bury, Greater Manchester BL9 0JX","01617 633 655","Bury.Manager@pizzaexpress.com",""
"PizzaExpress","53.37047","-2.58065","WA4 2AG","Stockton Heath Grappenhall Road","3 Victoria Buildings, Grappenhall Rd, Stockton Heath, Cheshire, WA4 2AG","01925 860865","StocktonHeath.Manager@pizzaexpress.com",""
"PizzaExpress","53.25931","-1.91394","SK17 6BQ","Buxton Cavendish Arcade Shopping Centre","14 Cavendish Arcade, Buxton, Derbyshire SK17 6BQ","01298 24922","Buxton.Manager@pizzaexpress.com",""
"PizzaExpress","53.34945","-2.880391","L24 8QB","Liverpool Speke","Unit L12, New Mersey Retail Park, Speke Road, Speke, Liverpool, L24 8QB","01512020140","Liverpool.Speke@pizzaexpress.com",""
"PizzaExpress","53.26445","-2.87858","CH65 9JJ","Cheshire Oaks Designer Outlet","Unit 57, McArthurGlen Outlet Centre, Cheshire Oaks, Merseyside, CH65 9JJ","0151 355 6434","CheshireOaks.Manager@pizzaexpress.com",""
"PizzaExpress","53.36917","-1.495623","S11 8PR","Sheffield Ecclesall Road","Unit 3, 483 Ecclesall Road, Sheffield, Yorkshire, S11 8PR","0114 267 6626","Sheffield4.manager@pizzaexpress.com",""
"PizzaExpress","53.37895","-1.468252","S1 2PT","Sheffield St Pauls Place","Unit 1, City Lofts Tower, St Pauls Place, Sheffield, South Yorkshire, S1 2PT","0114 276 8808","Sheffield5.manager@pizzaexpress.com",""
"PizzaExpress","53.19003","-2.88814","CH1 1DA","Chester The Exchange","Unit 1, The Exchange, St Johns Street, Chester, CH1 1DA","01244 323 265","Chester.Manager@pizzaexpress.com",""
"PizzaExpress","53.40357","-2.98675","L1 8JQ","Liverpool ONE Shopping Centre","Unit P1, 13b Paradise Street, Liverpool One, Liverpool, L1 8JQ","0151 707 9977","Liverpool3.Manager@pizzaexpress.com",""
