site,lat,lng,zip,name,address,phone,email,web
"PizzaHut","57.150313","-2.077635","AB24 5EN","Aberdeen Beach","Unit 4, Queens Links Leisure Park, Aberdeen, Aberdeenshire, Scotland, AB24 5EN","01224 592345","","https://www.pizzahut.co.uk/huts/uk-2/377-aberdeen"
"PizzaHut","57.144619","-2.098275","AB11 5RG","Aberdeen Union Square","Unit FS18, 11 First Level Mall, Aberdeen, Scotland, AB11 5RG","01224 569990","","https://www.pizzahut.co.uk/huts/uk-2/994-aberdeen"
"PizzaHut","50.787499","0.302947","BN23 6QD","Admiral Retail Park","Admiral Retail Park, Lott Bridge Drove, Eastbourne, East Sussex, England, BN23 6QD","01323 412008","","https://www.pizzahut.co.uk/huts/uk-2/732-eastbourne"
"PizzaHut","53.479733","-2.952935","L9 5AL","Aintree","Aintree Racecourse & Business Park, Topham Drive. Ormskirk Road, Liverpool, Merseyside, England, L9 5AL","0151 525 0019","","https://www.pizzahut.co.uk/huts/uk-2/367-aintree"
"PizzaHut","51.177414","-1.758054","SP4 7SQ","Amesbury","Solstice Park, Amesbury, Wiltshire, England, SP4 7SQ","1980676200","","https://www.pizzahut.co.uk/huts/uk-2/967-amesbury"
"PizzaHut","55.858149","-4.25674","G2 8BU","Argyle St","203/205 Argyle Street, Glasgow, Lanarkshire, Scotland, G2 8BU","0141 221 0144","","https://www.pizzahut.co.uk/huts/uk-2/222-glasgow"
"PizzaHut","51.160911","0.872684","TN25 4BN","Ashford Leisure Park","Unit 4, Eureka Leisure Park, Ashford, Kent, England, TN25 4BN","01233 650650","","https://www.pizzahut.co.uk/huts/uk-2/397-ashford"
"PizzaHut","53.478089","-2.127673","OL7 0DN","Ashton Under Lyne","Unit 9 Snipe Retail Park, Manchester Road, Ashton-Under-Lyne, Lancashire, England, OL7 0DN","0161 371 9191","","https://www.pizzahut.co.uk/huts/uk-2/361-ashton"
"PizzaHut","52.07291","-1.341566","OX16 1LX","Banbury Cross Retail Park","Unit 15 Banbury Cross Retail Park, Lockheed Close, Banbury, Oxfordshire, England, OX16 1LX","01295 277 422","","https://www.pizzahut.co.uk/huts/uk-2/971-banbury"
"PizzaHut","51.583727","0.461843","SS14 3WB","Basildon","Unit 6, Festival Way, Basildon, Essex, England, SS14 3WB","01268 273000","","https://www.pizzahut.co.uk/huts/uk-2/384-basildon"
"PizzaHut","51.522611","0.071748","E6 6LH","Beckton Triangle","Unit 8 Beckton Triangle Retail Park, Claps Gate Lane, London, London, England, E6 6LH","020 8507 7070","","https://www.pizzahut.co.uk/huts/uk-2/391-beckton"
"PizzaHut","52.133192","-0.444507","MK41 9LN","Bedford Leisure Park","Restaurant Building D Aspects Leisure Park, Newham Avenue, Bedford, Bedfordshire, England, MK41 9LN","01234 363314","","https://www.pizzahut.co.uk/huts/uk-2/329-bedford"
"PizzaHut","52.477515","-1.893604","B2 4PA","Birmingham Bullring","Lower Mall, Bullring, Birmingham, West Midlands, England, B2 4PA","0121 643 3359","","https://www.pizzahut.co.uk/huts/uk-2/751-birmingham-bullring"
"PizzaHut","52.478596","-1.896596","B2 4NS","Birmingham New St","135/137 New Street, Birmingham, West Midlands, England, B2 4NS","0121 643 2080","","https://www.pizzahut.co.uk/huts/uk-2/402-birmingham-a"
"PizzaHut","53.743654","-2.479359","BB1 1AQ","Blackburn","Mayson Street, Blackburn, Lancashire, England, BB1 1AQ","01254 278 600","","https://www.pizzahut.co.uk/huts/uk-2/958-blackburn"
"PizzaHut","53.791819","-3.056985","FY4 1PL","Blackpool Pleasure Beach","Unit 3/4 Ocean Boulevard, The Promenade, Blackpool, Lancashire, England, FY4 1PL","01253 407307","","https://www.pizzahut.co.uk/huts/uk-2/304-blackpool"
"PizzaHut","53.817105","-3.054304","FY1 1HJ","Blackpool Tower","7/15 Church Street, Blackpool, Lancashire, England, FY1 1HJ","01253 628883","","https://www.pizzahut.co.uk/huts/uk-2/234-blackpool"
"PizzaHut","51.439101","0.273853","DA9 9SF","Bluewater","Unit EVL 18 The East Village, Bluewater Shopping Centre, Greenhithe, Kent, England, DA9 9SF","01322 382555","","https://www.pizzahut.co.uk/huts/uk-2/440-bluewater"
"PizzaHut","53.583312","-2.534758","BL6 6JA","Bolton Middlebrook Retail Park","Unit 14 Middlebrook Retail Park, The Linkway, Bolton, Lancashire, England, BL6 6JA","01204 469999","","https://www.pizzahut.co.uk/huts/uk-2/376-bolton"
"PizzaHut","52.57634","-0.221371","PE1 5YA","Boongate","Carr Road, Boongate, Peterborough, Cambridgeshire, England, PE1 5YA","01733 892929","","https://www.pizzahut.co.uk/huts/uk-2/324-peterborough"
