site,lat,lng,zip,name,address,phone,email,web
"SlugandLettuce","","","EC3N 1DD","Slug & Lettuce Aldgate","St. Clare House, London, England, EC3N 1DD","","",""
"SlugandLettuce","","","SE1 7PJ","Slug & Lettuce County Hall","north Block 1 - 63, London, London, SE1 7PJ","","",""
"SlugandLettuce","","","CR0 1JA","Slug & Lettuce Croydon","10 Park Lane, Croydon, Greater London, CR0 1JA","","",""
"SlugandLettuce","","","W1S 1YR","Slug & Lettuce Hanover Street","19â€“20 Hanover Street, London - Hanover Street, London, W1S 1YR","","",""
"SlugandLettuce","","","WC2H 7BG","Slug & Lettuce Leicester Square","5 Lisle Street, London - Leicester Square, London, WC2H 7BG","","",""
"SlugandLettuce","","","RM1 1NX","Slug & Lettuce Romford","105-111 South Street, Romford, Essex, RM1 1NX","","",""
"SlugandLettuce","","","E18 1AY","Slug & Lettuce South Woodford","184 George Lane, London, Greater London, E18 1AY","","",""
"SlugandLettuce","","","EC3A 8AA","Slug & Lettuce St Mary Axe","25 St Mary Axe, London - St Mary Axe, London, EC3A 8AA","","",""
"SlugandLettuce","","","EC2V 7JQ","Slug & Lettuce St Pauls","Corner of Wood St & Love Lane, London - St Pauls, London, EC2V 7JQ","","",""
"SlugandLettuce","","","SE10 0DY","Slug & Lettuce The O2","14 Entertainment Avenue, London - The O2, London, SE10 0DY","","",""
"SlugandLettuce","","","E1W 1AA","Slug & Lettuce Tower Bridge","Unit 1 Tower Bridge House, London - Tower Bridge, London, E1W 1AA","","",""
"SlugandLettuce","","","MK40 1RZ","Slug & Lettuce Bedford","53-55 High Street, Bedford, Bedfordshire, MK40 1RZ","","",""
"SlugandLettuce","","","CM14 4AP","Slug & Lettuce Brentwood","78â€“82 High Street, Brentwood, Essex, CM14 4AP","","",""
"SlugandLettuce","","","CM2 6FL","Slug & Lettuce Chelmsford","The Meadows, Chelmsford, Essex, CM2 6FL","","",""
"SlugandLettuce","","","CO1 1TB","Slug & Lettuce Colchester","111 High Street, Colchester, Essex, CO1 1TB","","",""
"SlugandLettuce","","","SS1 2NE","Slug & Lettuce Southend on Sea","6â€“8 Southchurch Road, Southend on Sea, Essex, SS1 2NE","","",""
"SlugandLettuce","","","AL1 3JJ","Slug & Lettuce St Albans","13â€“15 Victoria Street, St Albans, Hertfordshire, AL1 3JJ","","",""
"SlugandLettuce","","","WD17 1AH","Slug & Lettuce Watford","66-68 The Parade, Watford, Herts, WD17 1AH","","",""
"SlugandLettuce","","","B1 2HL","Slug & Lettuce Birmingham Brindley place","Brindleyplace, Birmingham - Brindley place, West Midlands, B1 2HL","","",""
"SlugandLettuce","","","B17 9PP","Slug & Lettuce Birmingham Harborne","186-196 High Street, Birmingham - Harborne, West-Midlands, B17 9PP","","",""
