site,lat,lng,zip,name,address,phone,email,web
"UrbanPubs","","","NW10 3JJ","The Whippet Inn","64 - 66 Chamberlayne Road, London NW10 3JJ Kensal Rise","","",""
"UrbanPubs","","","E8 1EN","The Old Ship","2 Sylvester Path, London E8 1EN Hackney","","",""
"UrbanPubs","","","W1H 5HE","Lord Wargrave","40 - 42 Brendon Street, London W1H 5HE Marylebone","","",""
"UrbanPubs","","","SE14 6AA","The Rose","272 New Cross Road, London SE14 6AA New Cross","","",""
"UrbanPubs","","","SW17 7PG","The Wheatsheaf","2 Upper Tooting Road, London SW17 7PG Tooting","","",""
"UrbanPubs","","","E9 6QT","Well Street Pizza","184 Well Street, London E9 6QT Hackney","","",""
"UrbanPubs","","","E20 1EJ","Bat & Ball","Montfichet Road Westfield, London E20 1EJ Stratford","","",""
"UrbanPubs","","","NW10 4TS","The Royal Oak","95 High Street, Harlesden NW10 4TS Harlesden","","",""
"UrbanPubs","","","N4 3PX","The White Lion","125-127 Stroud Green Road, London N4 3PX Stroud Green","","",""
"UrbanPubs","","","N6 4BD","The Gatehouse","1 North Road, Highgate, London N6 4BD Highgate","","",""
"UrbanPubs","","","W10 4AE","Paradise","19 Kilburn Lane, London W10 4AE Kensal Green","","",""
"UrbanPubs","","","EC4Y 1DE","Punch Tavern","99 Fleet Street, London EC4Y 1DE Fleet Street","","",""
"UrbanPubs","","","WC2B 5JS","Opera Tavern","23 Catherine Street, London WC2B 5JS Covent Garden","","",""
"UrbanPubs","","","W1F 9BP","Dehesa","25 Ganton Street, London W1F 9BP Soho","","",""
"UrbanPubs","","","W1T 4NA","Salt Yard","54 Goodge Street, London W1T 4NA Fitzrovia","","",""
"UrbanPubs","","","W1F 8SU","Ember Yard","60 Berwick Street, London W1F 8SU Soho","","",""
"UrbanPubs","","","EC4M 9DD","Juno Rooms","67-69 Watling Street, London EC4M 9DD The City","","",""
"UrbanPubs","","","SW12 9BP","The Cyclist","194 Balham High Street, London SW12 9BP Balham","","",""
"UrbanPubs","","","E1 6JE","Bar Kick","127 Shoreditch High Street, London E1 6JE Shoreditch","","",""
"UrbanPubs","","","EC4M 7DE","Fleets","44-46 Ludgate Hill, London EC4M 7DE St Pauls","","",""
"UrbanPubs","","","E8 4AH","Crown & Castle","600 Kingsland Road, London E8 4AH Hackney","","",""
"UrbanPubs","","","EC2A 3LP","Queen's Head Shoreditch","221-222 Shoreditch High St, London EC2A 3LP Hackney","","",""
"UrbanPubs","","","NW1 8BG","The Monarchy Camden","40-42 Chalk Farm Rd, Chalk Farm, London NW1 8BG Camden","","",""
"UrbanPubs","","","NW3 6TE","The Horseshoe","28 Heath St, London NW3 6TE Camden","","",""
"UrbanPubs","","","EC2M 3YD","Nest","Unit C, 115 Bishopsgate, London EC2M 3YD Bishopsgate","","",""
"UrbanPubs","","","W12 7GA","Salt Yard Tapas Bar","Unit 1026, Westfield Shopping Centre, Ariel Way, London W12 7GA Hammersmith & Fulham","","",""
"UrbanPubs","","","NW1 7BY","Camden Diner","2 Jamestown Road, London NW1 7BY Camden","","",""
"UrbanPubs","","","W1F 7BU","The Ganton Arms","18-20 Ganton Street, London W1F 7BU Soho","","",""
"UrbanPubs","","","SE1 9AG","Salt Yard Borough","New Hibernia House, Winchester Walk, SE1 9AG Southwark","","",""
"UrbanPubs","","","EC4A 4AB","Harrild & Sons","26 Farringdon Street, London EC4A 4AB Farringdon","","",""
"UrbanPubs","","","EC1R 4QL","Exmouth Arms","23 Exmouth Market, London EC1R 4QL Clerkenwell","","",""
"UrbanPubs","","","EC1Y 1AG","Singer Tavern","1 City Road, London, London EC1Y 1AG Old Street","","",""
"UrbanPubs","","","E1 6NU","Commercial Tavern","142-144 Commercial Street, London, E1 6NU Spitalfields","","",""
"UrbanPubs","","","EC1V 0DX","Slaughtered Lamb","34-35 Great Sutton Street, London EC1V 0DX Shoreditch","","",""
"UrbanPubs","","","SE1 9LX","Fountain & Ink","52-54 Stamford Street, London SE1 9LX Southwark","","",""
"UrbanPubs","","","E2 7DG","Well & Bucket","143 Bethnal Green Road, London E2 7DG Bethnal Green","","",""
"UrbanPubs","","","EC2A 4RD","The Griffin","93 Leonard Street, London EC2A 4RD Shoreditch","","",""
"UrbanPubs","","","N1 9PF","Three Johns","73 White Lion Street, London N1 9PF Islington","","",""
"UrbanPubs","","","N1 5AA","Duke of York","33 Downham Road, London N1 5AA Haggerston","","",""
"UrbanPubs","","","W1T 1HL","The Black Horse","6 Rathbone Place, London W1T 1HL Fitzrovia","","",""
