site,lat,lng,zip,name,address,phone,email,web
"oakmaninn",51.793084,-0.662228,"HP23 6AA","The Akeman","9 Akeman Street, Tring, HP23 6AA","01442 826027",,"https://theakeman.co.uk/"
"oakmaninn",51.8641235,-0.9939059,"HP18 0QJ","The Akeman Inn","Kingswood, Aylesbury, HP18 0QJ","01296 770318",,"http://www.akemaninnkingswood.co.uk/"
"oakmaninn",53.866339,-2.130006,"BB8 7EG","The Alma Inn","Emmott Lane, Laneshawbridge, Colne, BB8 7EG","01282 857830",,"https://thealmainn.com/"
"oakmaninn",51.629381,0.6118543,"SS5 6ND","The Anchor","Ferry Road, Hullbridge, SS5 6ND","01702 230777",,"http://www.theanchorhullbridge.co.uk"
"oakmaninn",52.048216,-0.022305,"SG8 7BZ","Banyers House","16 Melbourne Street, Royston, SG8 7BZ","01763 290530",,"https://www.banyershouse.co.uk"
"oakmaninn",51.938886,-0.830506,"MK17 0SH","The Betsey Wynne","21 Mursley Road, Swanbourne, MK17 0SH","01296 720825",,"https://www.thebetseywynne.co.uk/"
"oakmaninn",51.784195,-1.485745,"OX28 6BH","The Blue Boar","28 Market Street, Witney, OX28 6BH","01993 776353",,"https://www.blueboarwitney.co.uk/"
"oakmaninn",52.1534407,-0.7043085,"MK46 4EB","The Cherry Tree","3 High Street, Olney, MK46 4EB","01234 639877",,"https://www.thecherrytreeolney.co.uk"
"oakmaninn",51.6695858,-1.2804968,"OX14 3HS","The Crown & Thistle","18 Bridge Street, Abingdon-on-Thames, OX14 3HS","01235 522556",,"https://www.crownandthistleabingdon.co.uk/"
"oakmaninn",53.84803,-2.60023,"PR3 2NB","Derby Arms","Chipping Rd, Longridge. PR3 2NB","01772 782370",,"https://derbyarmslongridge.co.uk/"
"oakmaninn",53.853913,-2.8711114,"PR3 0YE","Farmer Arms","Halsalls Square, Great Eccleston, PR3 0YE","01995 672018",,"https://greatecclestonpub.co.uk/"
"oakmaninn",54.0940045,-2.6642868,"LA2 9LA","The Fenwick","Lancaster Road, Claughton, LA2 9LA","01524 221157",,"https://fenwickarms.co.uk/"
"oakmaninn",53.9439276,-1.8804189,"LS29 0LY","The Fleece","152-154 Main Street, Addingham, Ilkley, LS29 0LY","01943 830397",,"https://the-fleece.com/"
"oakmaninn",53.829762,-2.257911,"BB12 9PA","Forest","Cuckstool Lane, Fence, Burnley, Lancashire, BB12 9PA","01282 692228",,"https://forestfence.co.uk/"
"oakmaninn",52.174975,-1.789132,"CV37 8PW","The Four Alls","Binton Bridge, Binton Road, Welford-On-Avon, CV37 8PW","01789 332184",,"https://www.thefourallswelfordonavon.co.uk/"
"oakmaninn",52.2825651,-1.5914056,"CV34 4DP","The Globe","10 Theatre Street, Warwick, CV34 4DP","01926 479100",,"https://www.theglobewarwick.co.uk/"
"oakmaninn",52.0017445,-0.9846388,"MK18 1NT","The Grand Junction","13 High Street, Buckingham, MK18 1NT","01280 731680",,"http://www.thegrandjunctionbuckingham.co.uk"
"oakmaninn",51.8135905,-0.6480431,"HP23 5QE","The Grand Junction Arms","Bulbourne, Tring, HP23 5QE","01442 824159",,"https://www.thegrandjunctionarmstring.co.uk/"
"oakmaninn",53.6336403,-2.8171403,"L40 1SB","The Hesketh Arms","81 Liverpool Road, Rufford, L40 1SB","01704 821009",,"https://www.thehesketharmsrufford.co.uk"
"oakmaninn",,,"SL9 7QE","The Journeyman","10 Packhorse, Gerrards Cross, Buckinghamshire, SL9 7QE",,,"http://thejourneymangx.co.uk"
"oakmaninn",51.7598654,-0.5633865,"HP4 3HL","The Kings Arms","147 High Street, Berkhamsted, HP4 3HL","01442 866595",,"https://www.kingsarmsberkhamsted.co.uk/"
"oakmaninn",51.704603,0.245351,"CM5 9JG","The Kings Head","177 High Street, Chipping Ongar, CM5 9JG","01277 508905",,"https://www.kingsheadongar.co.uk/"
"oakmaninn",51.2127358,-0.8006963,"GU9 7NX","The Lost Boy","3 Downing Street, Farnham, GU9 7NX","01252 947252",,"http://www.thelostboyfarnham.co.uk/"
"oakmaninn",52.0815603,-0.8581378,"MK19 7BE","The Navigation","Thrupp Wharf, Station Road, Cosgrove, MK19 7BE","01908 926270",,"https://www.thenavigationcosgrove.co.uk/"
"oakmaninn",52.3361969,-1.7215185,"B94 6NA","The Navigation Inn","Old Warwick Road, Lapworth, B94 6NA","01564 783337",,"https://navigationlapworth.co.uk"
"oakmaninn",51.599732,-1.125223,"OX10 0AA","The Old Post Office","St Martins Street, Wallingford, OX10 0AA","01491 836068",,"https://www.opowallingford.co.uk/"
"oakmaninn",51.7620168,-0.5688868,"HP4 1AH","The Penny Farthing","296-298 High Street, Berkhamsted, HP4 1AH","01442 872828",,"https://www.thepennyfarthingberkhamsted.co.uk/"
"oakmaninn",51.8189882,-1.0503007,"HP18 9RT","The Pointer","27 Church Street, Brill, HP18 9RT","01844 238339",,"https://www.thepointerbrill.co.uk/"
"oakmaninn",51.686587,-0.736658,"HP16 0HJ","The Polecat Inn","170 Wycombe Road, Prestwood, HP16 0HJ","01494 412514",,"https://www.thepolecatinn.co.uk"
"oakmaninn",51.7811894,-0.4923897,"HP1 3BD","The Red Lion","Leighton Buzzard Road, Water End, HP1 3BD","01442 213594",,"https://www.redlionwaterend.co.uk/"
"oakmaninn",51.4100022,-0.8331661,"RG40 1AP","The Rose Inn","30 Market Place, Wokingham, RG40 1AP","01182 146000",,"https://www.therosewokingham.co.uk/"
"oakmaninn",51.412515,-0.7076307,"SL5 8DR","The Royal Foresters","London Road, Ascot, SL5 8DR","01344 596480",,"https://www.theroyalforesters.co.uk/"
"oakmaninn",52.031667,-0.4929555,"MK45 2NG","The White Hart","125 Dunstable Street, Ampthill, MK45 2NG","01525 305200",,"https://www.thewhitehartampthill.co.uk/"
"oakmaninn",51.9884047,-0.6185857,"MK17 9PX","The Woburn","1 George Street, Woburn, MK17 9PX","01525 290441",,"https://thewoburn.co.uk/"
"oakmaninn",51.9470194,-0.7073627,"MK17 9DD","The Three Locks","Leighton Road, Stoke Hammond, MK17 9DD","01525 270214",,"https://www.threelocksstokehammond.co.uk/"
"oakmaninn",51.675838,-0.6099447,"HP6 5BW","The Beech House Amersham","16 Hill Avenue, Amersham, HP6 5BW","01494 412261",,"https://www.beechhouseamersham.co.uk"
"oakmaninn",51.6129563,-0.6477897,"HP9 2PN","The Beech House Beaconsfield","17 Penn Road, Beaconsfield, HP9 2PN","01494 842166",,"https://www.beechhousebeaconsfield.co.uk"
"oakmaninn",51.4275141,-0.3570582,"TW12 1NY","The Beech House Hampton Hill","92 High Street, Hampton Hill, TW12 1NY","020 8016 4111",,"https://www.beechhousehamptonhill.co.uk"
"oakmaninn",51.7545848,-0.3366552,"AL1 3EG","The Beech House St Albans","81 St Peters Street, St Albans, AL1 3EG","01727 701230",,"https://www.beechhousestalbans.co.uk/"
"oakmaninn",52.415172,-1.775121,"B91 3DA","The Beech House Solihull","727 Warwick Road, Solihull, B91 3DA","0121 272 7730",,"https://www.beechhousesolihull.co.uk/"
"oakmaninn",,,"WD17 2DJ","The Beech House Watford","49-51 High Street, Watford, WD17 2DJ",,,"https://www.beechhousewatford.co.uk"
