site,lat,lng,zip,name,address,phone,email,web
"thelounges",,,"MK40 1AY","Albero","Cowper Building, Riverside Square, Bedford, MK40 1AY","01234 261708",,"https://thelounges.co.uk/albero"
"thelounges",,,"BN1 4JF","Alcampo","84-86 London Road, Brighton, BN1 4JF","01273 693 288",,"https://thelounges.co.uk/alcampo"
"thelounges",,,"GU51 4BE","Alento","162 Fleet Road, Fleet, GU51 4BE","01252 227106",,"https://thelounges.co.uk/alento"
"thelounges",,,"RG4 8AU","Alto","32-32a Church Street, Caversham, Reading, RG4 8AU","0118 947 3522",,"https://thelounges.co.uk/alto"
"thelounges",,,"S11 8PR","Amaro","519 Ecclesall Road, Sheffield, S11 8PR","0114 263 1099",,"https://thelounges.co.uk/amaro"
"thelounges",,,"BH24 1AT","Arboro","The Furlong, Ringwood, BH24 1AT","0142 547 3389",,"https://thelounges.co.uk/arboro/"
"thelounges",,,"BH23 1AS","Arcado","71 High Street, Christchurch, BH23 1AS","01202 480 285",,"https://thelounges.co.uk/arcado"
"thelounges",,,"B17 9NP","Arco","147 High Street, Harborne, Birmingham, B17 9NP","0121 428 3011",,"https://thelounges.co.uk/arco"
"thelounges",,,"PE1 1HJ","Argo","7 Bridge Street, Peterborough, PE1 1HJ","01733 565 255",,"https://thelounges.co.uk/argo"
"thelounges",,,"SY23 1LF","Athro","The Old Welsh School Alexandra Road, Aberystwyth, SY23 1LF","01970 624053",,"https://thelounges.co.uk/athro"
"thelounges",,,"CV21 2PY","Bacco","16-18 Regent Street, Rugby, CV21 2PY","01788 567 668",,"https://thelounges.co.uk/bacco"
"thelounges",,,"YO8 4JS","Barco","Unit 12/13 Market Cross, Selby, YO8 4JS","01757 403126",,"https://thelounges.co.uk/barco"
"thelounges",,,"SL6 1QJ","Bardo","Unit 4B and 4C, High Street, Maidenhead, SL6 1QJ","01628561228",,"https://thelounges.co.uk/bardo"
"thelounges",,,"NG9 2JQ","Bendigo","55 High Road, Beeston, Nottingham, NG9 2JQ","0115 922 6012",,"https://thelounges.co.uk/bendigo"
"thelounges",,,"M21 9AJ","Benito","595/597 Wilbraham Road, Chorlton, Manchester, M21 9AJ","0161 861 8310",,"https://thelounges.co.uk/benito"
"thelounges",,,"SK1 1SA","Berretto","Redrock, Bridgefield Street, Stockport, SK1 1SA","01614 777244",,"https://thelounges.co.uk/berretto"
"thelounges",,,"OX11 7LG","Berro","44 Orchard Street, Didcot, OX11 7LG","01235 818068",,"https://thelounges.co.uk/berro"
"thelounges",,,"M41 5AA","Bevano","Eden Square Shopping Centre, Flixton Road, Urmston, Manchester, M41 5AA","0161 755 0849",,"https://thelounges.co.uk/bevano"
"thelounges",,,"BS37 4AX","Bolero","32-34B West Walk, Yate, BS37 4AX","01454 312199",,"https://thelounges.co.uk/bolero"
"thelounges",,,"PO21 1PQ","Bonito","1 London Road, Bognor Regis, PO21 1PQ","0124 321 2411",,"https://thelounges.co.uk/bonito"
"thelounges",,,"BS31 1FS","Bonzo","8-9 Market Walk, Keynsham, BS31 1FS","01179 865 989",,"https://thelounges.co.uk/bonzo"
"thelounges",,,"RG5 3JP","Bosco","55 Crockhamwell Road, Woodley, Reading, RG5 3JP","01189 696 293",,"https://thelounges.co.uk/bosco"
"thelounges",,,"L3 1BP","Brasco","27A Mann Island, Liverpool Waterfront, Liverpool, L3 1BP","0151 236 5085",,"https://thelounges.co.uk/brasco"
"thelounges",,,"SK8 1AL","Brezo","30 High Street, Cheadle, Cheshire, SK8 1AL","0161 4913980",,"https://thelounges.co.uk/brezo"
"thelounges",,,"BS23 1AS","Brunello","4-5 Beach Road, Weston-super-Mare, BS23 1AS","01934 419 391",,"https://thelounges.co.uk/brunello"
